Player,Pos,FG%,FT%,3P,PS/G▼,TRB,AST,STL,BLK,TOV
Terrence Ross,SF,0.431,0.79,1.8,9.9,2.5,0.8,0.7,0.3,0.6
Ramon Sessions,PG,0.473,0.756,0.4,9.9,2.5,2.9,0.6,0.1,1.4
Carl Landry,PF,0.556,0.736,0.2,9.8,4.1,0.9,0.3,0.3,0.6
Gary Neal,SG,0.465,0.855,1,9.8,2.1,1.2,0.5,0,0.7
Hollis Thompson,SG,0.397,0.719,1.9,9.8,3.5,1.3,0.5,0.3,1
Dion Waiters,SG,0.399,0.713,1.1,9.8,2.6,2,1,0.2,1.5
Jerami Grant,SF,0.419,0.658,0.5,9.7,4.7,1.8,0.7,1.6,1.4
Marcus Thornton,SG,0.399,0.848,1.5,9.7,2.5,1.4,0.8,0.1,0.8
Manu Ginobili,SG,0.453,0.813,1.2,9.6,2.5,3.1,1.1,0.2,1.7
Courtney Lee,SG,0.454,0.839,1,9.6,2.6,1.7,1.1,0.4,0.9
Raymond Felton,PG,0.406,0.847,0.8,9.5,3.2,3.6,0.9,0.2,1.5
Doug McDermott,SF,0.452,0.857,1.4,9.4,2.4,0.7,0.2,0.1,0.7
Ian Mahinmi,C,0.589,0.587,0,9.3,7.1,1.5,0.9,1.1,1.4
Kevin Martin,SG,0.372,0.89,0.9,9.3,2,1.1,0.5,0.1,1
Derrick Williams,SF,0.45,0.758,0.6,9.3,3.7,0.9,0.4,0.1,0.8
Jordan Farmar,PG,0.42,1,1.3,9.2,2.1,3.1,1.3,0.2,1.5
Aaron Gordon,PF,0.473,0.668,0.5,9.2,6.5,1.6,0.8,0.7,0.8
Nene Hilario,PF,0.544,0.578,0,9.2,4.5,1.7,0.9,0.5,1.3
Kyle Korver,SG,0.435,0.833,2,9.2,3.3,2.1,0.8,0.4,1.2
Rudy Gobert,C,0.559,0.569,0,9.1,11,1.5,0.7,2.2,1.9
Mason Plumlee,C,0.516,0.642,0,9.1,7.7,2.8,0.8,1,1.9
Marcus Smart,PG,0.348,0.777,1,9.1,4.2,3,1.5,0.3,1.3
Alex Len,C,0.423,0.728,0,9,7.6,1.2,0.5,0.8,1.9
Archie Goodwin,PG,0.417,0.674,0.4,8.9,2.5,2.1,0.5,0.2,1.8
