Player,Pos,FG%,FT%,3P,PS/G▼,TRB,AST,STL,BLK,TOV
Shabazz Napier,PG,0.338,0.733,0.6,3.7,1,1.8,0.4,0,0.8
Kelly Oubre,SF,0.427,0.633,0.4,3.7,2.1,0.2,0.3,0.1,0.5
Ian Clark,SG,0.441,0.824,0.5,3.6,1,1,0.3,0.2,0.7
Montrezl Harrell,PF,0.644,0.522,0,3.6,1.7,0.4,0.3,0.3,0.4
Josh McRoberts,PF,0.372,0.7,0.3,3.6,2.5,1.9,0.4,0.2,0.7
Axel Toupane,SF,0.357,0.765,0.6,3.6,1.5,0.7,0.3,0.3,0.3
Noah Vonleh,PF,0.421,0.745,0.1,3.6,3.9,0.4,0.3,0.3,0.6
Christian Wood,PF,0.415,0.619,0.2,3.6,2.2,0.2,0.3,0.4,0.1
Jordan Adams,SG,0.333,0.6,0,3.5,1,1.5,1.5,0,1
James Anderson,SG,0.376,0.759,0.5,3.5,1.7,0.8,0.4,0.3,0.8
Robert Sacre,C,0.413,0.658,0,3.5,2.9,0.6,0.2,0.4,0.5
Tarik Black,C,0.548,0.422,0,3.4,4,0.4,0.4,0.5,0.6
Cristiano Felicio,C,0.556,0.714,0,3.4,3.3,0.8,0.2,0.4,0.4
Ryan Hollins,C,0.62,0.619,0,3.4,2.6,0.3,0.2,0.6,0.6
Kyle Singler,SF,0.389,0.659,0.4,3.4,2.1,0.4,0.4,0.1,0.5
Reggie Bullock,SF,0.439,0.933,0.6,3.3,1.8,0.7,0.3,0.1,0.2
Ray McCallum,PG,0.377,0.8,0.4,3.3,1.1,1.5,0.3,0.2,0.6
Mike Muscala,C,0.5,0.795,0.2,3.3,2,0.6,0.2,0.5,0.5
Phil Pressey,PG,0.385,0.52,0.2,3.3,1.3,3.3,0.8,0.2,1.4
Kevin Garnett,PF,0.47,0.667,0,3.2,3.9,1.6,0.7,0.3,0.4
Luc Mbah a Moute,PF,0.454,0.526,0.2,3.1,2.3,0.4,0.6,0.3,0.5
Jason Thompson,C,0.481,0.704,0.1,3.1,2.9,0.6,0.3,0.4,0.3
Rashad Vaughn,SG,0.305,0.8,0.6,3.1,1.3,0.6,0.4,0.2,0.4
Thanasis Antetokounmpo,SF,0.75,,0,3,0.5,0,0,0,0
Kirk Hinrich,PG,0.38,0.938,0.5,3,1.5,1.6,0.3,0,0.7
Johnny O'Bryant,PF,0.411,0.675,0,3,2.7,0.5,0.3,0.1,0.5
C.J. Wilcox,SG,0.394,0.75,0.4,3,0.5,0.4,0.4,0.1,0.1
Chris Johnson,SF,0.371,0.81,0.4,2.9,1.9,0.6,0.5,0.3,0.6
James Michael McAdoo,PF,0.536,0.531,0,2.9,1.4,0.4,0.2,0.2,0.4
Tayshaun Prince,SF,0.445,0.684,0.1,2.9,1.9,0.9,0.5,0.2,0.4
Alan Williams,PF,0.417,0.643,0,2.9,3.8,0.5,0.4,0.5,0.6
Andrew Goudelock,PG,0.45,0.75,0.1,2.8,0.3,0.5,0.8,0.3,0.9
Josh Huestis,PF,0.417,0,0.8,2.8,2,0,0.2,0.4,0.6
Cory Jefferson,PF,0.409,0.667,0,2.8,2,0,0,0.1,0
Chris Kaman,C,0.465,1,0.1,2.8,1.5,0.7,0.1,0.1,0.5
Alex Stepheson,PF,0.333,0.333,0,2.8,3.5,0.3,0.1,0.6,0
Rasual Butler,SF,0.471,0.688,0.3,2.7,1.2,0.5,0.3,0.5,0.2
Jared Cunningham,SG,0.343,0.655,0.3,2.7,0.9,0.5,0.3,0,0.5
Drew Gooden,PF,0.32,0.643,0.2,2.7,2.8,0.4,0.3,0.4,0.4
R.J. Hunter,SG,0.367,0.857,0.5,2.7,1,0.4,0.4,0.1,0.3
Justin Harper,PF,0.4,0.5,0.8,2.6,0.2,0,0.2,0,0.4
Kostas Papanikolaou,SF,0.364,0.643,0.4,2.6,1.5,0.6,0.5,0.2,0.8
Anderson Varejao,C,0.427,0.64,0,2.6,2.7,0.7,0.3,0.2,0.4
Matt Bonner,C,0.509,0.75,0.5,2.5,0.9,0.3,0.2,0,0.1
Lorenzo Brown,PG,0.32,0.75,0.1,2.5,0.9,1.4,0.4,0.1,1.1
Adreian Payne,PF,0.366,0.654,0.2,2.5,2.1,0.6,0.3,0.2,0.7
Kendrick Perkins,C,0.533,0.44,0,2.5,3.5,0.8,0.3,0.3,1.1
Pablo Prigioni,PG,0.374,0.875,0.5,2.5,1.9,2.2,0.9,0,0.8
Sonny Weems,SG-SF,0.382,0.533,0.3,2.5,1.2,1.1,0.2,0,1
Jarell Eddie,SF,0.308,1,0.6,2.4,0.9,0.2,0.2,0,0
Jeremy Evans,SF,0.542,0.714,0.1,2.4,1.8,0.1,0.2,0.3,0.2
Tyler Hansbrough,PF,0.451,0.585,0,2.4,2,0.2,0.3,0.2,0.3
Sergey Karasev,SF,0.405,0.929,0.3,2.4,1.5,0.9,0.2,0.1,0.6
K.J. McDaniels,SF,0.403,0.8,0.2,2.4,1.1,0.3,0.2,0.2,0.5
Steve Novak,PF,0.444,1,0.7,2.4,0.5,0,0,0,0.1
Lamar Patterson,SG,0.35,0.727,0.3,2.4,1.4,1.1,0.3,0.1,0.7
Greg Smith,PF,0.563,0.412,0,2.4,2.3,0.3,0.2,0.1,0.4
Damjan Rudez,SF,0.403,1,0.5,2.3,0.6,0.3,0.1,0,0.4
Walter Tavares,C,0.579,0.375,0,2.3,1.9,0.3,0.1,0.5,0.5
Lucas Nogueira,C,0.636,0.533,0,2.2,1.6,0.2,0.4,0.4,0.4
DeJuan Blair,C,0.412,0.385,0,2.1,2,0.4,0.3,0.1,0.5
Nick Collison,PF,0.459,0.697,0,2.1,2.9,0.9,0.3,0.3,0.8
Chris Copeland,PF,0.333,0.857,0.4,2.1,0.4,0.5,0.1,0,0.3
Devyn Marble,SG,0.296,0.417,0.3,2.1,1.4,0.4,0.5,0,0.3
Coty Clarke,SF,0.5,,0.7,2,0.3,0,0,0,0.3
Chuck Hayes,C,0.5,1,0,2,4,1,0,0,1.5
Tibor Pleiss,C,0.44,1,0,2,1.3,0.2,0.1,0.2,0.7
Cameron Bairstow,C,0.325,0.875,0.1,1.9,1.6,0.3,0.1,0.2,0.2
Lou Amundson,PF,0.358,0.519,0,1.8,1.7,0.4,0.2,0.2,0.5
Jeff Ayres,C,0.522,1,0,1.8,1.3,0.3,0,0.2,0.4
Cleanthony Early,SF,0.3,0.75,0.2,1.8,1.5,0.4,0.1,0.2,0.5
Jorge Gutierrez,PG,0.545,0.909,0,1.8,0.6,1.4,0.3,0,0.5
Damien Inglis,SF,0.351,0.875,0.2,1.8,1.6,0.5,0.3,0.2,0.6
Kevon Looney,PF,0.571,,0.2,1.8,2,0,0,0,0.2
Elijah Millsap,SG,0.282,0.722,0.1,1.8,1.8,1,0.4,0.2,0.5
Terry Rozier,PG,0.274,0.8,0.2,1.8,1.6,0.9,0.2,0,0.5
Udonis Haslem,PF,0.377,0.75,0,1.6,2,0.4,0.1,0.1,0.1
Nazr Mohammed,C,0.6,1,0,1.6,0.8,0,0,0,0.6
Shayne Whittington,PF,0.455,0.5,0,1.6,1.7,0.4,0.1,0.1,0.7
Elliot Williams,PG,0.2,0.75,0.2,1.6,0.8,0.8,0,0,0.2
Anthony Bennett,PF,0.296,0.9,0.2,1.5,1.2,0,0.3,0,0.2
Jimmer Fredette,SG,0.4,0.8,0.2,1.5,0,0.2,0.2,0,0.3
Russ Smith,PG,0.318,0.615,0.1,1.5,0.6,0.7,0.3,0.1,0.5
Erick Green,PG,0.385,1,0.1,1.4,0.7,0.3,0.1,0,0
Cliff Alexander,PF,0.5,,0,1.3,0.8,0,0.1,0.3,0.1
Mitch McGary,PF,0.478,0.4,0,1.3,0.9,0.2,0.1,0.1,0.4
Jordan Mickey,PF,0.364,0.5,0,1.3,0.8,0.1,0,0.7,0.1
Mike Miller,SF,0.355,,0.4,1.3,1.1,0.9,0.3,0.1,0.4
Keith Appling,PG,0.25,1,0,1.2,0.2,0.2,0.2,0,0.6
Luis Montero,SG,0.263,0.75,0.1,1.2,0.3,0.1,0,0,0.3
Pat Connaughton,SG,0.265,1,0.1,1.1,0.9,0.3,0.1,0,0.3
Bryce Cotton,PG,0.4,,0,1,0,0.4,0.4,0,0.6
Eric Moreland,PF,0.5,0.5,0,1,1.4,0.1,0,0.5,0.4
Jarnell Stokes,C,0.6,0.5,0,1,0.6,0.1,0.1,0,0
James Young,SG,0.306,0.25,0.2,1,0.9,0.3,0.2,0,0.2
Joel Anthony,C,0.6,0.75,0,0.9,1.1,0.1,0.1,0.6,0.1
Aaron Harrison,SG,0.263,0.417,0.1,0.9,0.7,0.1,0.3,0,0.2
Sasha Kaun,C,0.529,0.455,0,0.9,1,0.1,0.2,0.2,0.3
Branden Dawson,PF,0.4,1,0,0.8,0.7,0,0,0.2,0
Joe Harris,SG,0.25,,0.2,0.6,0.6,0.4,0,0,0.2
Bruno Caboclo,SF,0.083,,0.2,0.5,0.3,0.2,0.3,0.2,0.7
Sam Dekker,SF,,,0,0,0.3,0,0.3,0,0
J.J. O'Brien,SF,0,,0,0,0.5,0,0.5,0,0
Nate Robinson,PG,0,,0,0,0,2,0.5,0,0
