Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Fri Nov 1 2019,7:00p,Houston Rockets,Brooklyn Nets,30.19%,69.81%
Fri Nov 1 2019,7:00p,Cleveland Cavaliers,Indiana Pacers,55.30%,44.70%
Fri Nov 1 2019,7:00p,Milwaukee Bucks,Orlando Magic,41.06%,58.94%
Fri Nov 1 2019,7:30p,New York Knicks,Boston Celtics,83.70%,16.30%
Fri Nov 1 2019,8:00p,Detroit Pistons,Chicago Bulls,33.49%,66.51%
Fri Nov 1 2019,9:30p,Los Angeles Lakers,Dallas Mavericks,58.34%,41.66%
Fri Nov 1 2019,10:00p,Utah Jazz,Sacramento Kings,25.43%,74.57%
Fri Nov 1 2019,10:30p,San Antonio Spurs,Golden State Warriors,51.98%,48.02%
Sat Nov 2 2019,5:00p,New Orleans Pelicans,Oklahoma City Thunder,49.39%,50.61%
Sat Nov 2 2019,7:00p,Brooklyn Nets,Detroit Pistons,41.44%,58.56%
Sat Nov 2 2019,7:00p,Denver Nuggets,Orlando Magic,45.41%,54.59%
Sat Nov 2 2019,8:00p,Phoenix Suns,Memphis Grizzlies,37.02%,62.98%
Sat Nov 2 2019,8:00p,Toronto Raptors,Milwaukee Bucks,60.04%,39.96%
Sat Nov 2 2019,8:00p,Minnesota Timberwolves,Washington Wizards,42.94%,57.06%
Sat Nov 2 2019,8:30p,Charlotte Hornets,Golden State Warriors,54.45%,45.55%
Sat Nov 2 2019,10:00p,Philadelphia 76ers,Portland Trail Blazers,35.94%,64.06%
Sun Nov 3 2019,5:00p,Chicago Bulls,Indiana Pacers,70.25%,29.75%
Sun Nov 3 2019,6:00p,Houston Rockets,Miami Heat,69.18%,30.82%
Sun Nov 3 2019,6:00p,Sacramento Kings,New York Knicks,60.49%,39.51%
Sun Nov 3 2019,7:00p,Los Angeles Lakers,San Antonio Spurs,66.58%,33.42%
Sun Nov 3 2019,7:30p,Dallas Mavericks,Cleveland Cavaliers,37.33%,62.67%
Sun Nov 3 2019,9:00p,Utah Jazz,Los Angeles Clippers,70.94%,29.06%
Mon Nov 4 2019,7:00p,Detroit Pistons,Washington Wizards,46.15%,53.85%
Mon Nov 4 2019,7:30p,New Orleans Pelicans,Brooklyn Nets,63.14%,36.86%
Mon Nov 4 2019,8:00p,Houston Rockets,Memphis Grizzlies,34.55%,65.45%
Mon Nov 4 2019,8:00p,Milwaukee Bucks,Minnesota Timberwolves,52.42%,47.58%
Mon Nov 4 2019,9:00p,Philadelphia 76ers,Phoenix Suns,41.58%,58.42%
Mon Nov 4 2019,10:30p,Portland Trail Blazers,Golden State Warriors,32.67%,67.33%
Tue Nov 5 2019,7:00p,Indiana Pacers,Charlotte Hornets,53.94%,46.06%
Tue Nov 5 2019,7:00p,Boston Celtics,Cleveland Cavaliers,34.77%,65.23%
Tue Nov 5 2019,7:30p,San Antonio Spurs,Atlanta Hawks,40.90%,59.10%
Tue Nov 5 2019,8:00p,Los Angeles Lakers,Chicago Bulls,31.98%,68.02%
Tue Nov 5 2019,8:00p,Orlando Magic,Oklahoma City Thunder,68.61%,31.39%
Tue Nov 5 2019,9:00p,Miami Heat,Denver Nuggets,35.41%,64.59%
Wed Nov 6 2019,7:00p,New York Knicks,Detroit Pistons,77.26%,22.74%
Wed Nov 6 2019,7:00p,Washington Wizards,Indiana Pacers,58.14%,41.86%
Wed Nov 6 2019,7:30p,Chicago Bulls,Atlanta Hawks,70.65%,29.35%
Wed Nov 6 2019,7:30p,Golden State Warriors,Houston Rockets,72.38%,27.62%
Wed Nov 6 2019,7:30p,Sacramento Kings,Toronto Raptors,83.73%,16.27%
Wed Nov 6 2019,8:00p,Minnesota Timberwolves,Memphis Grizzlies,33.91%,66.09%
Wed Nov 6 2019,8:30p,Orlando Magic,Dallas Mavericks,79.43%,20.57%
Wed Nov 6 2019,9:00p,Philadelphia 76ers,Utah Jazz,50.66%,49.34%
Wed Nov 6 2019,10:00p,Milwaukee Bucks,Los Angeles Clippers,46.14%,53.86%
Thu Nov 7 2019,8:00p,Boston Celtics,Charlotte Hornets,41.03%,58.97%
Thu Nov 7 2019,8:30p,Oklahoma City Thunder,San Antonio Spurs,74.21%,25.79%
Thu Nov 7 2019,9:00p,Miami Heat,Phoenix Suns,54.79%,45.21%
Thu Nov 7 2019,10:30p,Portland Trail Blazers,Los Angeles Clippers,67.00%,33.00%
Fri Nov 8 2019,7:00p,Detroit Pistons,Indiana Pacers,57.07%,42.93%
Fri Nov 8 2019,7:00p,Memphis Grizzlies,Orlando Magic,60.30%,39.70%
Fri Nov 8 2019,7:00p,Cleveland Cavaliers,Washington Wizards,68.58%,31.42%
